name,popularity,albumName,artistNames,spotifyUri
N95,86,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:0fX4oNGBWO3dSGUZcVdVV2
Monomania,20,Monomania,Deerhunter,spotify:track:2oJBFKoMeu9YQmqFPKkSsC
Old Pine,68,Every Kingdom,Ben Howard,spotify:track:3CAX47TnPqTujLIQTw8nwI
King Kunta,75,To Pimp A Butterfly,Kendrick Lamar,spotify:track:0N3W5peJUQtI4eyR6GJT5O
SuperNatural Possession,30,Stay Alive,Laura Jane Grace,spotify:track:5NjfRU0JaR3TjNGU2kOubc
Count Me Out,78,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:6BU1RZexmvJcBjgagVVt3M
Black Me Out,37,Transgender Dysphoria Blues,Against Me!,spotify:track:6RwvRMRTGg52KiB9VVioxV
Thrash Unreal,58,New Wave (U.S. Version),Against Me!,spotify:track:3c3XnCPwxGhQEHFxxjQcWe
Androgynous,39,Bad Reputation (Music from the Original Motion Picture),Joan Jett & the Blackhearts,spotify:track:6KmPsYpaZzZBCXPmiVdiCB
Pints of Guinness Make You Strong,47,Reinventing Axl Rose,Against Me!,spotify:track:00NNd1BFzQQzZe4UcvZIzB
Momma,61,To Pimp A Butterfly,Kendrick Lamar,spotify:track:0CjJqkWOpIUXdem5hUcxAk
Rich Spirit,81,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:1QPreu0BNOrUfEb8HTd2qG
4:44,72,4:44,JAY-Z,spotify:track:1gT5TGwbkkkUliNzHRIGi1
Diamonds,47,Every Kingdom,Ben Howard,spotify:track:1lS4gwrIdt27IpKD7PdVP4
Auntie Diaries,70,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:1uY1X8YeBixs1FdQ3fQ7d4
Father Time (feat. Sampha),78,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:28qA8y1sz0FTuSapsCxNOG
Hood Politics,62,To Pimp A Butterfly,Kendrick Lamar,spotify:track:2UOYzhusMTypF7oAQwksCj
Die Hard,85,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:2g6tReTlM2Akp41g0HaeXN
Savior,76,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:3drdWsJKiVCSQ2gKhd9BDT
Silent Hill,80,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:3lzUeaCbcCDB5IXYfqWRlF
Institutionalized,63,To Pimp A Butterfly,Kendrick Lamar,spotify:track:4oFtLSgHyZPNYDCcANhTnO
Mirror,72,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:5xoYormSTltk6F9SlQV6mm
Worldwide Steppers,74,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:66mVPWmFvXPFf8pjK5ttOW
We Cry Together,75,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:67XC51nlZncNpHmZ8rOU9a
Mr. Morale,74,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:6CmpZfKUQ2KerzBFZ3QKFr
Complexion (A Zulu Love),59,To Pimp A Butterfly,Kendrick Lamar,spotify:track:72hFOhhhnOJZnnp6uVOgPn
For Sale? - Interlude,59,To Pimp A Butterfly,Kendrick Lamar,spotify:track:7unx2Rvsq8D0RfOLRXclTA
The Wolves,56,Every Kingdom,Ben Howard,spotify:track:2zKoA5gp5Xaw3mrp45XIrR
Desire Lines,51,Halcyon Digest,Deerhunter,spotify:track:34OYZJDVLJC0HS401190FN
HUMBLE.,84,DAMN.,Kendrick Lamar,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
El Partisano,21,Miedo Al Silencio,Espaldamaceta,spotify:track:1TgoqOjkArBpOfp8YmvhVz
Cattails,47,U.F.O.F.,Big Thief,spotify:track:1zNLILPGGfMdEnifTrnY3z
Hot Heavy Summer,52,Another Friday Night / Hot Heavy Summer / Sister,Ben Howard,spotify:track:2Yu0AtCUsskiFKqtLCm0zc
Red Ink,17,Cryptograms,Deerhunter,spotify:track:7Lo3pXQTZ4qu9UIjKV3UKN
Cicadas,10,Weird Era Cont.,Deerhunter,spotify:track:0QEPwaK7EjzwIntl6cNtSI
Sleepwalking,27,Monomania,Deerhunter,spotify:track:0i0Jtv2tFbtH2EanXagtKW
Showering in Public,11,CORRESPONDENCE,Annika Norlin,spotify:track:45bpWnPDffIPr8C6QDuPEj
Earthquake,34,Halcyon Digest,Deerhunter,spotify:track:6t0y05rcx80LFmlzqXWHRA
Surfen,47,Lobi Da Basi,Typhoon,spotify:track:2GEKAhY3g7aRlpidLrqe6W
